feature,scale_factor,n_windows,median_relative_change_percent,q1_relative_change_percent,q3_relative_change_percent,max_absolute_difference,n_numerically_invariant,proportion_invariant
frozen_sd,7.1,60,11.745891640737696,8.460365931033415,17.521079664561213,0.06860024206652279,0,0.0
frozen_kurtosis,0.25,60,-19.2208595300387,-30.197764472925265,-11.895998636365547,28.605993261319497,0,0.0
frozen_kurtosis,0.5,60,-6.280410378337861,-10.706257785731736,-4.233447404367818,5.540698712824646,0,0.0
frozen_kurtosis,1.0,60,0.0,0.0,0.0,0.0,60,1.0
frozen_kurtosis,2.0,60,14.991714001553246,8.582903529893589,25.17098181517037,10.1453844633579,0,0.0
frozen_kurtosis,4.0,60,53.43497468095656,25.895536907081468,108.51198249688439,37.45370281175583,0,0.0
frozen_kurtosis,1.3,60,4.632939113149115,1.6071676188022197,8.548151845876623,3.208964054060427,0,0.0
frozen_kurtosis,7.1,60,111.20371328462785,59.032650930453265,245.01654835237352,132.460773361525,0,0.0
frozen_skewness,0.25,60,-6.452066501165564,-11.67284055619669,-3.762695513852823,1.4393876085281372,0,0.0
frozen_skewness,0.5,60,-2.2015799878988362,-3.867695372200112,-1.3005883992660798,0.4649685428790713,0,0.0
frozen_skewness,1.0,60,0.0,0.0,0.0,0.0,60,1.0
frozen_skewness,2.0,60,4.741800580376896,2.3990816284005736,7.501193844877207,0.6834196769202965,0,0.0
frozen_skewness,4.0,60,15.117716572149792,7.5787329473517895,27.30785888835407,2.034438562719796,0,0.0
frozen_skewness,1.3,60,1.623168526714653,0.4967204462351392,3.0495131242506432,0.19831614444593004,0,0.0
frozen_skewness,7.1,60,27.627451881824825,15.09146850421993,52.172317695293614,6.572890138502919,0,0.0
gi_total,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gi_total,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gi_total,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_total,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_total,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_total,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gi_total,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gi_average,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gi_average,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gi_average,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_average,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_average,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_average,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gi_average,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gi_median,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gi_median,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gi_median,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_median,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_median,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_median,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gi_median,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gi_sd,0.25,60,0.0,0.0,0.0,0.0,60,1.0
gi_sd,0.5,60,0.0,0.0,0.0,0.0,60,1.0
gi_sd,1.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_sd,2.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_sd,4.0,60,0.0,0.0,0.0,0.0,60,1.0
gi_sd,1.3,60,0.0,0.0,0.0,0.0,60,1.0
gi_sd,7.1,60,0.0,0.0,0.0,0.0,60,1.0
gi_kurtosis,0.25,60,0.0,0.0,0.0,0.0,60,1.0
