feature,amplitude_feature,pearson_r,r_squared,n_windows
gi_average,fwh_time_standard_deviation,-0.07988661929905785,0.006381871943032602,4083
gi_average,fwh_time_integrated_absolute_value,-0.07246921840230672,0.00525178761584123,4083
gi_sd,fwh_time_mean_absolute_value,-0.1148367194906771,0.013187472143380457,4083
gi_sd,fwh_time_root_mean_square,-0.11867405359312135,0.014083530996223037,4083
gi_sd,fwh_time_peak_to_peak,-0.1286203224923062,0.01654318735802485,4083
gi_sd,fwh_time_waveform_length,-0.0963521263123392,0.00928373224490897,4083
gi_sd,fwh_time_standard_deviation,-0.11866564110177513,0.014081534378095303,4083
gi_sd,fwh_time_integrated_absolute_value,-0.11483671949067722,0.013187472143380487,4083
gi_kurtosis,fwh_time_mean_absolute_value,0.010137104506551994,0.00010276088777675674,4083
gi_kurtosis,fwh_time_root_mean_square,0.02122246510216923,0.0004503930250127909,4083
gi_kurtosis,fwh_time_peak_to_peak,0.034832054968536114,0.0012132720533311213,4083
gi_kurtosis,fwh_time_waveform_length,0.007131781077433849,5.0862301336443505e-05,4083
gi_kurtosis,fwh_time_standard_deviation,0.02119776485689783,0.00044934523492833273,4083
gi_kurtosis,fwh_time_integrated_absolute_value,0.010137104506551966,0.00010276088777675619,4083
gi_skewness,fwh_time_mean_absolute_value,0.0033506513167276732,1.1226864246288891e-05,4083
gi_skewness,fwh_time_root_mean_square,0.015562919967952461,0.00024220447792889342,4083
gi_skewness,fwh_time_peak_to_peak,0.03102218745503068,0.0009623761144950629,4083
gi_skewness,fwh_time_waveform_length,-0.0006278597308650897,3.9420784164198293e-07,4083
gi_skewness,fwh_time_standard_deviation,0.01554355935619048,0.0002416022374594166,4083
gi_skewness,fwh_time_integrated_absolute_value,0.0033506513167276394,1.1226864246288664e-05,4083
gi_n_retained,fwh_time_mean_absolute_value,0.052843845409612296,0.0027924719976750024,4083
gi_n_retained,fwh_time_root_mean_square,0.06549831396365102,0.004290029132081002,4083
gi_n_retained,fwh_time_peak_to_peak,0.0860070089055753,0.00739720558088371,4083
gi_n_retained,fwh_time_waveform_length,0.05393937392965155,0.0029094560599227733,4083
gi_n_retained,fwh_time_standard_deviation,0.06549213186708433,0.004289219336495563,4083
gi_n_retained,fwh_time_integrated_absolute_value,0.052843845409612226,0.002792471997674995,4083
gi_fixed_r,fwh_time_mean_absolute_value,-0.11837223974539392,0.014011987142341016,4083
gi_fixed_r,fwh_time_root_mean_square,-0.12189473060339293,0.014858325348873736,4083
gi_fixed_r,fwh_time_peak_to_peak,-0.13052571533662136,0.017036962364136713,4083
gi_fixed_r,fwh_time_waveform_length,-0.1011263817422266,0.010226545084274542,4083
gi_fixed_r,fwh_time_standard_deviation,-0.12188396340456675,0.014855700535205768,4083
gi_fixed_r,fwh_time_integrated_absolute_value,-0.11837223974539449,0.01401198714234115,4083
gigrid_auc,fwh_time_mean_absolute_value,-0.0999179935574552,0.00998360543654766,4083
gigrid_auc,fwh_time_root_mean_square,-0.10355343613658526,0.010723314135693841,4083
gigrid_auc,fwh_time_peak_to_peak,-0.1122557374011401,0.012601350579473725,4083
gigrid_auc,fwh_time_waveform_length,-0.07467441304252523,0.005576267963245662,4083
gigrid_auc,fwh_time_standard_deviation,-0.10354392131425844,0.010721343641133342,4083
gigrid_auc,fwh_time_integrated_absolute_value,-0.09991799355745513,0.009983605436547647,4083
gigrid_slope,fwh_time_mean_absolute_value,0.11385561041231662,0.01296310002236122,4083
gigrid_slope,fwh_time_root_mean_square,0.11688227579096039,0.013661466394074125,4083
gigrid_slope,fwh_time_peak_to_peak,0.12488242801511777,0.015595620826951073,4083
gigrid_slope,fwh_time_waveform_length,0.08992889178632926,0.008087205577917318,4083
gigrid_slope,fwh_time_standard_deviation,0.1168727090712349,0.013659230125649511,4083
gigrid_slope,fwh_time_integrated_absolute_value,0.11385561041231647,0.012963100022361186,4083
gigrid_sd,fwh_time_mean_absolute_value,-0.12947474406508575,0.016763709350719455,4083
gigrid_sd,fwh_time_root_mean_square,-0.12959820470577296,0.016795694662959434,4083
gigrid_sd,fwh_time_peak_to_peak,-0.13452698552795817,0.018097509835239466,4083
gigrid_sd,fwh_time_waveform_length,-0.10608386322836626,0.011253786037454718,4083
gigrid_sd,fwh_time_standard_deviation,-0.12958934364657937,0.01679339798675124,4083
gigrid_sd,fwh_time_integrated_absolute_value,-0.129474744065086,0.01676370935071952,4083
gi_total,frozen_total,-0.0525566543041171,0.0027622019116424704,4083
gigrid_auc,gi_total,0.9990475697787562,0.9980960466808387,4083
